geo_code,signature_type,use,greenspace,job_types,air_quality,house_affordability,job_accessibility,greenspace_accessibility
E00042786,7,0.37408873403658505,0.24800002434344381,0.4374968711986512,-17.212436302016084,-7.744774772678817,2860.7101630037064,764719.9278676121
E00042707,10,0.9549045341006668,0.1558816675222127,1.0,-16.287295052319124,-8.210105098855806,11465.131194808619,1084269.0176128405
E00042703,7,0.17513372767372687,0.25507770399401536,0.06836217804135264,-16.874918871320503,-7.218927104371172,2542.6509103245307,870900.9522204668
E00042782,7,0.37408873403658505,0.24800002434344381,0.415276491231817,-16.518405905171434,-7.615294980784692,2832.5211636351205,796227.5196230195
E00042789,7,0.37408873403658505,0.2647285607809274,0.4400132335268532,-17.196732603500223,-7.468293901771068,4803.2035849946315,750745.7121596776
E00042708,10,0.6129213303101864,0.0,0.7195344267830147,-16.569979380258033,-7.957961622338814,6677.116251626381,2721078.388973078
E00042067,4,-0.7093840739514389,0.018895263386590096,0.843331181601462,-14.49948379125282,-7.97560703529205,3108.6926911698365,559146.6499437573
E00042064,10,1.0,0.0,0.49581708253547757,-16.855374598679102,-7.142407932523536,11258.846599795583,682364.3439273401
E00042551,10,1.0,0.36454123974257735,0.30908819894204664,-17.05255782453165,-7.3302708743931495,5993.020710520155,1347252.506898467
E00042655,11,0.5087425257158293,0.08204552306123883,0.9682133373742097,-16.589304129049975,-7.819095574702393,20367.901576528922,1304499.8273501634
E00175594,11,0.14562502180449943,0.3142816842635219,0.8958707127351461,-15.908516211923786,-7.577234418490351,29186.625238108347,2833146.3012796957
E00042115,10,1.0,0.34384551873452474,0.13401430461407982,-16.50473896511204,-7.18636592606137,7464.353849259238,1474530.1326936954
E00042194,7,0.5144914985309625,0.13582728865738647,0.003434830350230955,-16.67616710028796,-7.363060924577111,6724.169000978303,1206561.8794995712
E00042198,8,-0.41696817187745583,0.4518840830863582,0.921725828089357,-18.154312406754688,-7.99595051151347,3445.84040458476,816090.3808474768
E00042213,4,0.4910594012098578,0.018895263386590096,0.9056874119931767,-16.262692403189675,-7.4878737931639945,1675.1450338455347,390982.82003742165
E00042292,8,-0.4310305003551995,0.1544143623783976,0.7362142387848484,-14.757026480879576,-7.641965658389665,1120.1493702913885,453272.31813443964
E00042210,8,-0.09831347318102858,0.47129063214501654,0.8393548932212859,-17.849704496789734,-7.618213123873946,4877.358396389862,908100.1281270962
E00042291,8,-0.04602374054149576,0.36173081062169565,0.2504846061789877,-16.547368172467003,-7.465986705999788,3656.4321244013627,1130633.017011795
E00175598,7,-0.36109668871436634,0.04626138871230967,0.8665082027873009,-16.996441191395004,-7.347180863954299,4304.789245257126,2381058.0395326237
E00042116,10,1.0,0.34384551873452474,0.14503142425715687,-16.46557366853268,-7.12719391361146,7407.243801686482,1528834.3820569476
E00042900,10,0.48786302562276085,0.13883957414862305,0.8331820417942507,-16.5914272434353,-7.57430419901093,10693.905435909746,2948782.6834574435
E00042930,5,-0.6008634128277867,0.2551084511106524,0.39067173291352497,-14.99455947458841,-7.400271993859739,2100.6771936843797,886630.1620701388
E00042197,8,-0.41696817187745583,0.4518840830863582,0.8495151438403465,-16.91535735418273,-7.871940108074805,458.3433492934473,749796.6717745147
E00042196,10,0.635515451124482,0.0,0.5547479202047723,-16.1076243014326,-7.391872379825455,4762.177623592342,1197232.2082996103
E00042117,8,-0.3721308489105953,0.39578435592738326,0.054342177467053304,-16.197027465181325,-7.401975432195318,4098.7862333673775,839938.6082355673
E00042114,10,1.0,0.34384551873452474,0.08747862987878446,-16.327908409130703,-7.2989167903102565,9550.25879873422,1393534.7710391786
